UPJONG_L(업종대분류코드(11분류)),UPJONG_L_NM(업종대분류코드명),UPJONG_M(업종중분류코드(25분류)),UPJONG_M_NM(업종중분류코드명)
1,요식/유흥,101,한식
1,요식/유흥,102,일식/중식/양식
1,요식/유흥,103,제과/커피/패스트푸드
1,요식/유흥,104,기타요식
1,요식/유흥,105,유흥
2,유통,206,백화점
2,유통,207,할인점/슈퍼마켓
2,유통,208,편의점
2,유통,209,기타유통
3,음/식료품,310,음/식료품
4,의류/잡화,411,의복/의류
4,의류/잡화,412,패션/잡화
5,스포츠/문화/레저,513,스포츠/문화/레저
5,스포츠/문화/레저,514,스포츠/문화/레저용품
6,여행/교통,615,숙박
6,여행/교통,616,여행
6,여행/교통,617,교통
7,미용,718,미용서비스
7,미용,719,화장품
8,의료,820,병원
8,의료,821,약국
8,의료,822,기타의료
9,가전/가구,923,가전/가구
10,자동차,1024,자동차서비스/용품
11,주유,1125,주유
